depths	NGAM
16.7	26.13033556
16.71	25.91807739
16.72	25.16749637
16.73	25.64530306
16.74	26.12310975
16.75	24.96336724
16.76	23.66723756
16.77	25.0997544
16.78	24.62194771
16.79	26.05446455
16.8	24.96336724
16.81	25.44839974
16.82	27.35872326
16.83	26.60814225
16.84	25.85756123
16.85	26.33536792
16.86	24.69781872
16.87	24.15227006
16.88	24.36452823
16.89	24.20465718
16.9	23.24994703
16.91	24.68246387
16.92	27.07059409
16.93	26.45640024
16.94	25.97859355
16.95	25.0238834
16.96	25.97859355
16.97	27.61614275
16.98	27.40388458
16.99	25.01575436
17	26.72194875
17.01	28.42723992
17.02	27.47252977
17.03	28.42723992
17.04	30.61033778
